,Score Ratio,Norm,SS_POW,positive_words,negative_words,hq,pragmatic_actions
SAINT KITTS AND NEVIS,0.026084319077949652,0.19602409638554216,0.005113155077087239,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SAINT LUCIA,-0.25821440424825753,1.0190291262135922,-0.26312799873686515,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SAINT VINCENT AND THE GRENADINES,0.18532494758909854,0.12022222222222222,0.02228017703237829,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SAMOA,-0.3136762860727729,0.7344262295081967,-0.2303720920665611,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SAN MARINO,-0.3022435897435897,2.51042654028436,-0.7587603293231255,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SAO TOME AND PRINCIPE,0.027230046948356807,0.14590277777777777,0.003972939488784559,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SAUDI ARABIA,-0.19006050129645635,0.5009808612440192,-0.09521667362796873,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SENEGAL,-0.383302852962692,1.0137729357798164,-0.3885820585407676,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SERBIA,-0.2898502495840266,1.1016077170418006,-0.3193012717282557,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SEYCHELLES,-0.11752933057280883,0.5265830115830116,-0.06188894884236499,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SIERRA LEONE,-0.2986449864498645,1.3106471816283924,-0.3914182097979643,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SINGAPORE,-0.0981607629427793,1.235353982300885,-0.12126328940705554,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SLOVAKIA,-0.09554367201426026,0.9783882783882784,-0.09347880877292643,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SLOVENIA,-0.21529227557411273,1.1513468013468013,-0.24787607283692878,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SOLOMON ISLANDS,-0.19230769230769232,1.4019886363636365,-0.2696131993006993,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SOMALIA,-0.17402597402597403,0.8573170731707317,-0.14919543870763383,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SOUTH AFRICA,-0.18948584633160023,0.2849090909090909,-0.053986240218475916,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SPAIN,-0.1870918754745634,2.9586121437422555,-0.5535322947745571,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SRI LANKA,-0.23049267643142476,0.9843703703703703,-0.22689016126645953,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SUDAN,-0.207183908045977,1.1771698113207547,-0.24389064194317933,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SOUTH SUDAN,-0.19258278145695365,1.4641630901287555,-0.28197260040360406,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SURINAME,-0.11409901985423473,0.3490232558139535,-0.039823211394705925,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SWEDEN,0.014723926380368098,2.4367469879518073,0.03587848325818612,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SWITZERLAND,-0.15955555555555556,2.760666666666667,-0.44047970370370376,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
SYRIA,-0.12397163120567375,1.0930578512396694,-0.1355081648203505,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
TAIWAN,-0.08110720562390158,2.869513797634691,-0.23273824562537962,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
TAJIKISTAN,-0.39132059800664454,1.5250787401574804,-0.5967947246056453,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
TANZANIA,-0.0925007295010213,1.069885433715221,-0.09896518310117451,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
THAILAND,-0.15243478260869564,2.946879334257975,-0.4492069106916722,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
TOGO,-0.06839546191247974,0.4601544401544402,-0.03147247548544145,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
TONGA,-0.3378096947935368,0.937085020242915,-0.3165564046838543,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
TUNISIA,-0.2677165354330709,1.035294117647059,-0.2771653543307087,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
TURKEY,-0.10926916221033868,2.723234916559692,-0.2975655978344191,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
TURKMENISTAN,-0.17050359712230215,0.5727477477477477,-0.09765555123468792,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
TUVALU,-0.09538092381523695,0.26239669421487605,-0.02502763910027912,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
UAE,-0.2443894389438944,2.497417840375587,-0.6103425448178621,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
UGANDA,-0.17412333736396615,0.975452196382429,-0.16984899187311944,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
UK,-0.10397412199630314,0.3983495145631068,-0.0414180410243526,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
UKRAINE,0.0587090389267649,0.1747930693069307,0.010261933110069309,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
URUGUAY,-0.24565656565656566,1.3463565891472868,-0.3307413358390103,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
UZBEKISTAN,-0.09342560553633218,0.84282982791587,-0.0787418870371228,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
VANUATU,0.003048780487804878,0.3830409356725146,0.001167807730708886,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
VENEZUELA,-0.25369718309859157,1.854018691588785,-0.4703593194682112,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
VIETNAM,-0.05668058455114822,0.38306584362139917,-0.021712395938039638,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
YEMEN,-0.14673721340388007,1.3201005025125627,-0.19370786915175525,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
ZAMBIA,-0.01098901098901099,0.5027777777777778,-0.005525030525030525,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
ZIMBABWE,-0.2988338192419825,0.7728476821192053,-0.23095302453999575,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
TRINIDAD AND TOBAGO,-0.10309130122214234,0.7453672316384181,-0.07684087779795051,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
CURACAO,0.021233569261880688,0.1945328031809145,0.004130625750049752,"recognizes, allows, issues, classifies","does not allow, has forbidden, restricts, bans",regulation of cryptocurrencies,(cryptocurrencies OR blockchain regulation OR mining OR cryptocurrencies as property OR crypto assets OR stablecoins OR CBDCs OR tokens OR ICOs OR cryptocurrencies as security OR cryptocurrency trading OR Bitcoin OR blockchain OR Bitcoin as legal tender OR NFTs)
